Start Time, Nov. 21, 2018 at 02:36:43 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 85293.55
Real Time (s), 85585.65
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
564, 282, 1804
565, 282.5, 1808
566, 283, 1883
567, 283.5, 1843
568, 284, 1852
569, 284.5, 1826
570, 285, 1804
571, 285.5, 1757
572, 286, 1732
573, 286.5, 1806
574, 287, 1783
575, 287.5, 1812
576, 288, 1973
577, 288.5, 1971
578, 289, 1813
579, 289.5, 1750
580, 290, 1766
581, 290.5, 1744
582, 291, 1687
583, 291.5, 1743
584, 292, 1771
585, 292.5, 1712
586, 293, 1695
587, 293.5, 1748
588, 294, 1662
589, 294.5, 1710
590, 295, 1752
591, 295.5, 1741
592, 296, 1635
593, 296.5, 1696
594, 297, 1759
595, 297.5, 1697
596, 298, 1754
597, 298.5, 1679
598, 299, 1718
599, 299.5, 1595
600, 300, 1627
601, 300.5, 1663
602, 301, 1596
603, 301.5, 1633
604, 302, 1570
605, 302.5, 1620
606, 303, 1716
607, 303.5, 1935
608, 304, 2645
609, 304.5, 2071
610, 305, 1559
611, 305.5, 1556
612, 306, 1602
613, 306.5, 1518
614, 307, 1500
615, 307.5, 1615
616, 308, 1546
617, 308.5, 1535
618, 309, 1552
619, 309.5, 1559
620, 310, 1485
621, 310.5, 1580
622, 311, 1585
623, 311.5, 1573
624, 312, 1586
625, 312.5, 1540
626, 313, 1496
627, 313.5, 1582
628, 314, 1533
629, 314.5, 1588
630, 315, 1601
631, 315.5, 1556
632, 316, 1567
633, 316.5, 1488
634, 317, 1429
635, 317.5, 1502
636, 318, 1531
637, 318.5, 1432
638, 319, 1394
639, 319.5, 1615
640, 320, 1596
641, 320.5, 1552
642, 321, 1489
643, 321.5, 1446
644, 322, 1405
645, 322.5, 1475
646, 323, 1401
647, 323.5, 1519
648, 324, 1462
649, 324.5, 1436
650, 325, 1442
651, 325.5, 1477
652, 326, 1471
653, 326.5, 1445
654, 327, 1491
655, 327.5, 1485
656, 328, 1454
657, 328.5, 1505
658, 329, 1424
659, 329.5, 1434
660, 330, 1450
661, 330.5, 1495
662, 331, 1392
663, 331.5, 1366
664, 332, 1408
665, 332.5, 1439
666, 333, 1432
667, 333.5, 1603
668, 334, 1925
669, 334.5, 2781
670, 335, 4815
671, 335.5, 5601
672, 336, 3809
673, 336.5, 2492
674, 337, 1758
675, 337.5, 1476
676, 338, 1333
677, 338.5, 1347
678, 339, 1331
679, 339.5, 1326
680, 340, 1323
681, 340.5, 1402
682, 341, 1342
683, 341.5, 1332
684, 342, 1286
685, 342.5, 1375
686, 343, 1305
687, 343.5, 1402
688, 344, 1346
689, 344.5, 1331
690, 345, 1241
691, 345.5, 1280
692, 346, 1297
693, 346.5, 1290
694, 347, 1314
695, 347.5, 1321
696, 348, 1360
697, 348.5, 1228
698, 349, 1232
699, 349.5, 1257
700, 350, 1291
701, 350.5, 1318
702, 351, 1268
703, 351.5, 1249
704, 352, 1280
705, 352.5, 1273
706, 353, 1261
707, 353.5, 1275
708, 354, 1291
709, 354.5, 1246
710, 355, 1283
711, 355.5, 1230
712, 356, 1231
713, 356.5, 1230
714, 357, 1218
715, 357.5, 1225
716, 358, 1242
717, 358.5, 1221
718, 359, 1251
719, 359.5, 1222
720, 360, 1207
721, 360.5, 1224
722, 361, 1232
723, 361.5, 1199
724, 362, 1216
725, 362.5, 1193
726, 363, 1222
727, 363.5, 1146
728, 364, 1299
729, 364.5, 1194
730, 365, 1204
731, 365.5, 1234
732, 366, 1235
733, 366.5, 1186
734, 367, 1237
735, 367.5, 1221
736, 368, 1214
737, 368.5, 1236
738, 369, 1301
739, 369.5, 1283
740, 370, 1229
741, 370.5, 1214
742, 371, 1168
743, 371.5, 1190
744, 372, 1211
745, 372.5, 1216
746, 373, 1162
747, 373.5, 1233
748, 374, 1215
749, 374.5, 1190
750, 375, 1177
751, 375.5, 1213
752, 376, 1213
753, 376.5, 1197
754, 377, 1142
755, 377.5, 1139
756, 378, 1112
757, 378.5, 1151
758, 379, 1197
759, 379.5, 1169
760, 380, 1145
761, 380.5, 1192
762, 381, 1204
763, 381.5, 1231
764, 382, 1859
765, 382.5, 5690
766, 383, 6470
767, 383.5, 2266
768, 384, 1152
769, 384.5, 1133
770, 385, 1140
771, 385.5, 1090
772, 386, 1077
773, 386.5, 1079
774, 387, 1072
775, 387.5, 1043
776, 388, 1084
777, 388.5, 1045
778, 389, 1126
779, 389.5, 1062
780, 390, 1052
781, 390.5, 1095
782, 391, 1040
783, 391.5, 1085
784, 392, 1058
785, 392.5, 1033
786, 393, 1071
787, 393.5, 1062
788, 394, 1015
789, 394.5, 1076
790, 395, 1096
791, 395.5, 1076
792, 396, 1098
793, 396.5, 1101
794, 397, 1063
795, 397.5, 1101
796, 398, 1060
797, 398.5, 1021
798, 399, 1667
799, 399.5, 6165
800, 400, 9969
801, 400.5, 4050
802, 401, 1190
803, 401.5, 962
804, 402, 978
805, 402.5, 1007
806, 403, 1012
807, 403.5, 935
808, 404, 1010
809, 404.5, 1012
810, 405, 983
811, 405.5, 972
812, 406, 950
813, 406.5, 950
814, 407, 928
815, 407.5, 953
816, 408, 999
817, 408.5, 900
818, 409, 878
819, 409.5, 954
820, 410, 979
821, 410.5, 903
822, 411, 966
823, 411.5, 919
824, 412, 941
825, 412.5, 890
826, 413, 902
827, 413.5, 935
828, 414, 918
829, 414.5, 1024
830, 415, 980
831, 415.5, 944
832, 416, 940
833, 416.5, 948
834, 417, 890
835, 417.5, 921
836, 418, 885
837, 418.5, 947
838, 419, 900
839, 419.5, 889
840, 420, 940
841, 420.5, 918
842, 421, 928
843, 421.5, 906
844, 422, 890
845, 422.5, 933
846, 423, 870
847, 423.5, 900
848, 424, 930
849, 424.5, 917
850, 425, 926
851, 425.5, 924
852, 426, 908
853, 426.5, 921
854, 427, 895
855, 427.5, 885
856, 428, 865
857, 428.5, 899
858, 429, 905
859, 429.5, 957
860, 430, 894
861, 430.5, 933
862, 431, 875
863, 431.5, 934
864, 432, 892
865, 432.5, 858
866, 433, 909
867, 433.5, 917
868, 434, 1293
869, 434.5, 1294
870, 435, 982
871, 435.5, 923
872, 436, 978
873, 436.5, 1134
874, 437, 1143
875, 437.5, 926
876, 438, 814
877, 438.5, 824
878, 439, 870
879, 439.5, 901
880, 440, 888
881, 440.5, 842
882, 441, 876
883, 441.5, 884
884, 442, 879
885, 442.5, 854
886, 443, 845
887, 443.5, 863
888, 444, 840
889, 444.5, 828
890, 445, 784
891, 445.5, 879
892, 446, 816
893, 446.5, 905
894, 447, 842
895, 447.5, 872
896, 448, 805
897, 448.5, 819
898, 449, 827
899, 449.5, 857
900, 450, 777
901, 450.5, 895
902, 451, 809
903, 451.5, 844
904, 452, 855
905, 452.5, 822
906, 453, 837
907, 453.5, 824
908, 454, 849
909, 454.5, 846
910, 455, 816
911, 455.5, 905
912, 456, 792
913, 456.5, 869
914, 457, 851
915, 457.5, 785
916, 458, 850
917, 458.5, 862
918, 459, 874
919, 459.5, 836
920, 460, 813
921, 460.5, 882
922, 461, 905
923, 461.5, 881
924, 462, 852
925, 462.5, 895
926, 463, 912
927, 463.5, 827
928, 464, 827
929, 464.5, 811
930, 465, 834
931, 465.5, 807
932, 466, 821
933, 466.5, 827
934, 467, 785
935, 467.5, 820
936, 468, 827
937, 468.5, 826
938, 469, 814
939, 469.5, 798
940, 470, 820
941, 470.5, 761
942, 471, 791
943, 471.5, 852
944, 472, 885
945, 472.5, 864
946, 473, 826
947, 473.5, 834
948, 474, 791
949, 474.5, 801
950, 475, 742
951, 475.5, 825
952, 476, 757
953, 476.5, 932
954, 477, 1691
955, 477.5, 2041
956, 478, 1127
957, 478.5, 795
958, 479, 791
959, 479.5, 718
960, 480, 795
961, 480.5, 748
962, 481, 819
963, 481.5, 726
964, 482, 758
965, 482.5, 724
966, 483, 744
967, 483.5, 695
968, 484, 759
969, 484.5, 683
970, 485, 783
971, 485.5, 756
972, 486, 732
973, 486.5, 733
974, 487, 812
975, 487.5, 847
976, 488, 799
977, 488.5, 707
978, 489, 764
979, 489.5, 761
980, 490, 755
981, 490.5, 795
982, 491, 746
983, 491.5, 743
984, 492, 770
985, 492.5, 762
986, 493, 758
987, 493.5, 687
988, 494, 744
989, 494.5, 720
990, 495, 801
991, 495.5, 875
992, 496, 901
993, 496.5, 819
994, 497, 711
995, 497.5, 734
996, 498, 696
997, 498.5, 728
998, 499, 713
999, 499.5, 702
1000, 500, 685
1001, 500.5, 758
1002, 501, 873
1003, 501.5, 778
1004, 502, 771
1005, 502.5, 733
1006, 503, 795
1007, 503.5, 893
1008, 504, 1366
1009, 504.5, 1477
1010, 505, 955
1011, 505.5, 700
1012, 506, 708
1013, 506.5, 851
1014, 507, 923
1015, 507.5, 795
1016, 508, 719
1017, 508.5, 685
1018, 509, 652
1019, 509.5, 685
1020, 510, 734
1021, 510.5, 666
1022, 511, 690
