Start Time, Nov. 19, 2018 at 04:22:47 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 165281.41
Real Time (s), 165856.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
751, 375.5, 2434
752, 376, 2384
753, 376.5, 2303
754, 377, 2358
755, 377.5, 2274
756, 378, 2233
757, 378.5, 2313
758, 379, 2232
759, 379.5, 2340
760, 380, 2287
761, 380.5, 2408
762, 381, 2476
763, 381.5, 2319
764, 382, 3838
765, 382.5, 11959
766, 383, 13466
767, 383.5, 4603
768, 384, 2220
769, 384.5, 2159
770, 385, 2155
771, 385.5, 2086
772, 386, 2155
773, 386.5, 2120
774, 387, 2159
775, 387.5, 2021
776, 388, 2070
777, 388.5, 2051
778, 389, 2101
779, 389.5, 2182
780, 390, 2122
781, 390.5, 2169
782, 391, 2139
783, 391.5, 2079
784, 392, 2021
785, 392.5, 2140
786, 393, 2159
787, 393.5, 2161
788, 394, 2087
789, 394.5, 2140
790, 395, 2157
791, 395.5, 2100
792, 396, 2153
793, 396.5, 1978
794, 397, 2057
795, 397.5, 2035
796, 398, 2177
797, 398.5, 2173
798, 399, 3270
799, 399.5, 12441
800, 400, 19916
801, 400.5, 7893
802, 401, 2346
803, 401.5, 1938
804, 402, 2011
805, 402.5, 1879
806, 403, 1831
807, 403.5, 2000
808, 404, 1981
809, 404.5, 2021
810, 405, 1941
811, 405.5, 1928
812, 406, 1905
813, 406.5, 1952
814, 407, 1944
815, 407.5, 1830
816, 408, 1889
817, 408.5, 1802
818, 409, 1860
819, 409.5, 1868
820, 410, 1867
821, 410.5, 1813
822, 411, 1888
823, 411.5, 1874
824, 412, 1920
825, 412.5, 1827
826, 413, 1892
827, 413.5, 1904
828, 414, 1839
829, 414.5, 1828
830, 415, 1791
831, 415.5, 1814
832, 416, 1820
833, 416.5, 1836
834, 417, 1891
835, 417.5, 1850
836, 418, 1902
837, 418.5, 1907
838, 419, 1835
839, 419.5, 1851
840, 420, 1838
841, 420.5, 1875
842, 421, 1775
843, 421.5, 1759
844, 422, 1731
845, 422.5, 1829
846, 423, 1736
847, 423.5, 1782
848, 424, 1748
849, 424.5, 1743
850, 425, 1795
851, 425.5, 1755
852, 426, 1826
853, 426.5, 1805
854, 427, 1822
855, 427.5, 1883
856, 428, 1719
857, 428.5, 1765
858, 429, 1813
859, 429.5, 1795
860, 430, 1758
861, 430.5, 1756
862, 431, 1834
863, 431.5, 1759
864, 432, 1723
865, 432.5, 1771
866, 433, 1800
867, 433.5, 2443
868, 434, 4668
869, 434.5, 4511
870, 435, 2254
871, 435.5, 1776
872, 436, 1816
873, 436.5, 2276
874, 437, 2250
875, 437.5, 1863
876, 438, 1671
877, 438.5, 1645
878, 439, 1768
879, 439.5, 1728
880, 440, 1679
881, 440.5, 1802
882, 441, 1707
883, 441.5, 1691
884, 442, 1723
885, 442.5, 1729
886, 443, 1734
887, 443.5, 1673
888, 444, 1652
889, 444.5, 1722
890, 445, 1652
891, 445.5, 1713
892, 446, 1712
893, 446.5, 1728
894, 447, 1708
895, 447.5, 1681
896, 448, 1766
897, 448.5, 1736
898, 449, 1728
899, 449.5, 1666
900, 450, 1727
901, 450.5, 1701
902, 451, 1719
903, 451.5, 1698
904, 452, 1653
905, 452.5, 1662
906, 453, 1643
907, 453.5, 1722
908, 454, 1687
909, 454.5, 1657
910, 455, 1670
911, 455.5, 1613
912, 456, 1624
913, 456.5, 1692
914, 457, 1706
915, 457.5, 1660
916, 458, 1590
917, 458.5, 1725
918, 459, 1664
919, 459.5, 1648
920, 460, 1652
921, 460.5, 1743
922, 461, 1779
923, 461.5, 1794
924, 462, 1811
925, 462.5, 1652
926, 463, 1691
927, 463.5, 1622
928, 464, 1726
929, 464.5, 1690
930, 465, 1604
931, 465.5, 1666
932, 466, 1746
933, 466.5, 1533
934, 467, 1614
935, 467.5, 1610
936, 468, 1610
937, 468.5, 1645
938, 469, 1597
939, 469.5, 1632
940, 470, 1611
941, 470.5, 1641
942, 471, 1532
943, 471.5, 1557
944, 472, 1617
945, 472.5, 1746
946, 473, 1637
947, 473.5, 1581
948, 474, 1607
949, 474.5, 1570
950, 475, 1578
951, 475.5, 1555
952, 476, 1601
953, 476.5, 1912
954, 477, 3404
955, 477.5, 4181
956, 478, 2325
957, 478.5, 1552
958, 479, 1561
959, 479.5, 1502
960, 480, 1482
961, 480.5, 1500
962, 481, 1557
963, 481.5, 1471
964, 482, 1477
965, 482.5, 1505
966, 483, 1489
967, 483.5, 1533
968, 484, 1541
969, 484.5, 1493
970, 485, 1500
971, 485.5, 1551
972, 486, 1521
973, 486.5, 1478
974, 487, 1595
975, 487.5, 1687
976, 488, 1523
977, 488.5, 1452
978, 489, 1425
979, 489.5, 1447
980, 490, 1431
981, 490.5, 1476
982, 491, 1424
983, 491.5, 1508
984, 492, 1435
985, 492.5, 1469
986, 493, 1457
987, 493.5, 1485
988, 494, 1503
989, 494.5, 1489
990, 495, 1537
991, 495.5, 1755
992, 496, 1725
993, 496.5, 1547
994, 497, 1426
995, 497.5, 1458
996, 498, 1505
997, 498.5, 1453
998, 499, 1378
999, 499.5, 1454
1000, 500, 1451
1001, 500.5, 1579
1002, 501, 1650
1003, 501.5, 1608
1004, 502, 1490
1005, 502.5, 1480
1006, 503, 1612
1007, 503.5, 1711
1008, 504, 2648
1009, 504.5, 3020
1010, 505, 1863
1011, 505.5, 1453
1012, 506, 1390
1013, 506.5, 1665
1014, 507, 1879
1015, 507.5, 1514
1016, 508, 1428
1017, 508.5, 1366
1018, 509, 1344
1019, 509.5, 1392
1020, 510, 1344
1021, 510.5, 1393
1022, 511, 1389
1023, 511.5, 1336
1024, 512, 1385
1025, 512.5, 1383
1026, 513, 1460
1027, 513.5, 1570
1028, 514, 1406
1029, 514.5, 1301
1030, 515, 1518
1031, 515.5, 1981
1032, 516, 1956
1033, 516.5, 1483
1034, 517, 1360
1035, 517.5, 1307
1036, 518, 1270
1037, 518.5, 1304
1038, 519, 1282
1039, 519.5, 1337
1040, 520, 1343
1041, 520.5, 1334
1042, 521, 1633
1043, 521.5, 2504
1044, 522, 2730
1045, 522.5, 1679
1046, 523, 1327
1047, 523.5, 1221
1048, 524, 1256
1049, 524.5, 1276
1050, 525, 1300
1051, 525.5, 1291
1052, 526, 1292
1053, 526.5, 1268
1054, 527, 1241
1055, 527.5, 1298
1056, 528, 1258
1057, 528.5, 1386
1058, 529, 1650
1059, 529.5, 1576
1060, 530, 1356
1061, 530.5, 1261
1062, 531, 1216
1063, 531.5, 1222
1064, 532, 1281
1065, 532.5, 1252
1066, 533, 1294
1067, 533.5, 1249
1068, 534, 1189
1069, 534.5, 1234
1070, 535, 1256
1071, 535.5, 1266
1072, 536, 1258
1073, 536.5, 1255
1074, 537, 1195
1075, 537.5, 1255
1076, 538, 1247
1077, 538.5, 1286
1078, 539, 1302
1079, 539.5, 1259
1080, 540, 1247
1081, 540.5, 1220
1082, 541, 1220
1083, 541.5, 1221
1084, 542, 1262
1085, 542.5, 1297
1086, 543, 1279
1087, 543.5, 1245
1088, 544, 1260
1089, 544.5, 1295
1090, 545, 1392
1091, 545.5, 1381
1092, 546, 1270
1093, 546.5, 1345
1094, 547, 1214
1095, 547.5, 1256
1096, 548, 1469
1097, 548.5, 1812
1098, 549, 1574
1099, 549.5, 1214
1100, 550, 1299
1101, 550.5, 1392
1102, 551, 1516
1103, 551.5, 1532
1104, 552, 1417
1105, 552.5, 1264
1106, 553, 1231
1107, 553.5, 1243
1108, 554, 1211
1109, 554.5, 1173
1110, 555, 1133
1111, 555.5, 1169
1112, 556, 1252
1113, 556.5, 1165
1114, 557, 1240
1115, 557.5, 1135
1116, 558, 1192
1117, 558.5, 1153
1118, 559, 1166
1119, 559.5, 1207
1120, 560, 1132
1121, 560.5, 1171
1122, 561, 1169
1123, 561.5, 1159
1124, 562, 1131
1125, 562.5, 1167
1126, 563, 1106
1127, 563.5, 1225
1128, 564, 1441
1129, 564.5, 2443
1130, 565, 2687
1131, 565.5, 1657
1132, 566, 1152
1133, 566.5, 1113
1134, 567, 1132
1135, 567.5, 1229
1136, 568, 1141
1137, 568.5, 1153
1138, 569, 1176
1139, 569.5, 1161
1140, 570, 1179
1141, 570.5, 1164
1142, 571, 1134
1143, 571.5, 1184
1144, 572, 1136
1145, 572.5, 1128
1146, 573, 1186
1147, 573.5, 1177
1148, 574, 1240
1149, 574.5, 1172
1150, 575, 1117
1151, 575.5, 1116
1152, 576, 1129
1153, 576.5, 1103
1154, 577, 1161
1155, 577.5, 1143
1156, 578, 1159
1157, 578.5, 1145
1158, 579, 1156
1159, 579.5, 1106
1160, 580, 1063
1161, 580.5, 1154
1162, 581, 1166
1163, 581.5, 1138
1164, 582, 1134
1165, 582.5, 1101
1166, 583, 1170
1167, 583.5, 1119
1168, 584, 1181
1169, 584.5, 1193
1170, 585, 1132
1171, 585.5, 1132
1172, 586, 1268
1173, 586.5, 1222
1174, 587, 1162
1175, 587.5, 1074
1176, 588, 1167
1177, 588.5, 1141
1178, 589, 1143
1179, 589.5, 1138
1180, 590, 1162
1181, 590.5, 1132
1182, 591, 1150
1183, 591.5, 1106
1184, 592, 1113
1185, 592.5, 1193
1186, 593, 1332
1187, 593.5, 1420
1188, 594, 1221
1189, 594.5, 1137
1190, 595, 1115
1191, 595.5, 1176
1192, 596, 1186
1193, 596.5, 1142
1194, 597, 1900
1195, 597.5, 6053
1196, 598, 10282
1197, 598.5, 5931
1198, 599, 1820
1199, 599.5, 1042
1200, 600, 1057
1201, 600.5, 1035
1202, 601, 1090
1203, 601.5, 1042
1204, 602, 1072
1205, 602.5, 987
1206, 603, 1056
1207, 603.5, 1097
1208, 604, 1010
1209, 604.5, 1053
1210, 605, 1073
1211, 605.5, 1070
1212, 606, 1075
1213, 606.5, 1010
1214, 607, 1048
1215, 607.5, 1066
1216, 608, 1092
1217, 608.5, 1024
1218, 609, 1010
1219, 609.5, 1048
1220, 610, 1061
1221, 610.5, 1072
1222, 611, 1101
1223, 611.5, 1082
1224, 612, 1136
1225, 612.5, 1609
1226, 613, 2071
1227, 613.5, 1546
1228, 614, 1129
1229, 614.5, 1048
1230, 615, 1056
1231, 615.5, 1000
1232, 616, 1076
1233, 616.5, 1000
1234, 617, 1020
1235, 617.5, 999
1236, 618, 988
1237, 618.5, 1004
1238, 619, 989
1239, 619.5, 1123
1240, 620, 1096
1241, 620.5, 1086
1242, 621, 1091
1243, 621.5, 1033
1244, 622, 1074
1245, 622.5, 1243
1246, 623, 1229
1247, 623.5, 1289
1248, 624, 1187
1249, 624.5, 1173
1250, 625, 1105
